D.Date,R.Date,D.Group,Plate.ID,Deployment,Point,Raw.X,Raw.Y,True.X,True.Y
5/8/17,5/11/17,A,1,1,1,55.69,138.34,4.13,20.36
5/8/17,5/11/17,A,1,1,2,70.59,135.3,19.03,23.4
5/8/17,5/11/17,A,1,1,3,91.7,146.05,40.14,12.65
5/8/17,5/11/17,A,1,1,4,96.75,155.19,45.19,3.51
5/8/17,5/11/17,A,1,1,5,141.6,148.44,90.04,10.26
5/8/17,5/11/17,A,1,1,6,141.55,148.44,89.99,10.26
5/8/17,5/11/17,A,1,1,7,159.71,149.56,108.15,9.14
5/8/17,5/11/17,A,1,1,8,167.1,155.19,115.54,3.51
5/8/17,5/11/17,A,1,1,9,172.89,141.68,121.33,17.02
5/8/17,5/11/17,A,1,1,10,178.79,137.28,127.23,21.42
5/8/17,5/11/17,A,1,1,11,198,139.42,146.44,19.28
5/8/17,5/11/17,A,1,1,12,199.92,134,148.36,24.7
5/8/17,5/11/17,A,1,1,13,187.29,119.77,135.73,38.93
5/8/17,5/11/17,A,1,1,14,168.98,114.45,117.42,44.25
5/8/17,5/11/17,A,1,1,15,183.6,103.19,132.04,55.51
5/8/17,5/11/17,A,1,1,16,183.44,102.72,131.88,55.98
5/8/17,5/11/17,A,1,1,17,175.06,95.91,123.5,62.79
5/8/17,5/11/17,A,1,1,18,189.31,79.14,137.75,79.56
5/8/17,5/11/17,A,1,1,19,175.86,74.61,124.3,84.09
5/8/17,5/11/17,A,1,1,20,175.42,63.34,123.86,95.36
5/8/17,5/11/17,A,1,1,21,159.87,63.43,108.31,95.27
5/8/17,5/11/17,A,1,1,22,150.11,63.41,98.55,95.29
5/8/17,5/11/17,A,1,1,23,133.35,65.98,81.79,92.72
5/8/17,5/11/17,A,1,1,24,198.75,35.93,147.19,122.77
5/8/17,5/11/17,A,1,1,25,159.85,32.16,108.29,126.54
5/8/17,5/11/17,A,1,1,26,137.24,23.84,85.68,134.86
5/8/17,5/11/17,A,1,1,27,92.56,14.77,41,143.93
5/8/17,5/11/17,A,1,1,28,90.82,25.96,39.26,132.74
5/8/17,5/11/17,A,1,1,29,94.44,35.39,42.88,123.31
