Sheet ID,Relatedness,Point,Raw.X,Raw.Y,True.X,True.Y
1,Sib,T5,72.47,94.96,33.78,3.6
1,Sib,T6,83.11,87.05,44.42,11.51
1,Sib,T7,43.39,79.45,4.7,19.11
1,Sib,T8,44.37,76.75,5.68,21.81
1,Sib,T9,42.73,68.25,4.04,30.31
1,Sib,T10,45.82,71.28,7.13,27.28
1,Sib,T11,49.78,69.37,11.09,29.19
1,Sib,T12,63.48,68.25,24.79,30.31
1,Sib,T13,81.07,69,42.38,29.56
1,Sib,T14,83.17,65.55,44.48,33.01
1,Sib,T15,93.97,56.29,55.28,42.27
1,Sib,T16,59.97,58.63,21.28,39.93
1,Sib,T17,51.56,52.42,12.87,46.14
2,Sib,T5,45.94,99.95,6.37,4.45
2,Sib,T6,84.43,92.11,44.86,12.29
2,Sib,T7,98.61,83.67,59.04,20.73
2,Sib,T8,81.68,64.62,42.11,39.78
2,Sib,T9,91.43,61.28,51.86,43.12
2,Sib,T10,87.15,72.06,47.58,32.34
2,Sib,T11,97.07,73.34,57.5,31.06
3,Sib,T5,40.6,105.73,1.29,6.52
3,Sib,T6,78.21,105.49,38.9,6.76
3,Sib,T7,52.35,89.89,13.04,22.36
3,Sib,T8,75.44,54.89,36.13,57.36
3,Sib,T9,86.8,61.34,47.49,50.91
3,Sib,T10,75.44,69.7,36.13,42.55
4,Sib,T5,60.94,126.62,21.42,3.6
4,Sib,T6,60.81,123.14,21.29,7.08
4,Sib,T7,89.2,120.7,49.68,9.52
4,Sib,T8,84.6,114.31,45.08,15.91
4,Sib,T9,43.57,77.62,4.05,52.6
4,Sib,T10,59.94,96.08,20.42,34.14
4,Sib,T11,87.71,91.72,48.19,38.5
4,Sib,T12,98.9,75.68,59.38,54.54
5,Sib,T5,39.36,68.37,0.48,43.27
5,Sib,T6,41.58,82.73,2.7,28.91
5,Sib,T7,44.73,94.2,5.85,17.44
5,Sib,T8,39.67,89.27,0.79,22.37
5,Sib,T9,45.51,86.8,6.63,24.84
5,Sib,T10,46.89,85.9,8.01,25.74
5,Sib,T11,48.04,85.54,9.16,26.1
5,Sib,T12,57.97,79.22,19.09,32.42
5,Sib,T13,58.75,91.8,19.87,19.84
5,Sib,T14,67.7,91.38,28.82,20.26
5,Sib,T15,76.04,89.84,37.16,21.8
5,Sib,T16,81.18,87.3,42.3,24.34
5,Sib,T17,64.93,110.2,26.05,1.44
5,Sib,T18,68.14,110.7,29.26,0.94
5,Sib,T19,97.9,110.47,59.02,1.17
5,Sib,T20,96.92,88.88,58.04,22.76
5,Sib,T21,98.2,77.03,59.32,34.61
5,Sib,T22,89.24,74.64,50.36,37
5,Sib,T23,87.64,58.98,48.76,52.66
5,Sib,T24,88.09,60.68,49.21,50.96
6,Sib,T5,65.48,102.09,26.13,17.19
6,Sib,T6,76.54,113.68,37.19,5.6
6,Sib,T7,95.64,107.1,56.29,12.18
6,Sib,T8,40.64,82.58,1.29,36.7
6,Sib,T9,51.09,60.63,11.74,58.65
6,Sib,T10,63.8,62.52,24.45,56.76
6,Sib,T11,73.52,60.14,34.17,59.14
7,Sib,T5,58.27,124.12,19.43,1.89
7,Sib,T6,62.51,123.35,23.67,2.66
7,Sib,T7,66.55,125.19,27.71,0.82
7,Sib,T8,68.75,120.74,29.91,5.27
7,Sib,T9,58.83,118.85,19.99,7.16
7,Sib,T10,68.09,113.69,29.25,12.32
7,Sib,T11,88.91,119.41,50.07,6.6
7,Sib,T12,60.43,107.72,21.59,18.29
7,Sib,T13,90.83,96.32,51.99,29.69
7,Sib,T14,91.77,90.9,52.93,35.11
7,Sib,T15,92.4,72.22,53.56,53.79
7,Sib,T16,63.9,70,25.06,56.01
7,Sib,T17,49.14,95.16,10.3,30.85
7,Sib,T18,55.43,87.69,16.59,38.32
8,Sib,T5,44.8,117.38,6.37,16.2
8,Sib,T6,82.39,132.42,43.96,1.16
8,Sib,T7,96.22,124.57,57.79,9.01
8,Sib,T8,83.91,113.72,45.48,19.86
8,Sib,T9,95.45,111.93,57.02,21.65
8,Sib,T10,89.62,97.21,51.19,36.37
8,Sib,T11,69.38,98.18,30.95,35.4
8,Sib,T12,84.47,88.21,46.04,45.37
8,Sib,T13,79.6,83.29,41.17,50.29
8,Sib,T14,60.23,78.13,21.8,55.45
9,Sib,T5,92.67,98.88,54.79,8.42
9,Sib,T6,93.67,85.91,55.79,21.39
9,Sib,T7,45.42,79.96,7.54,27.34
9,Sib,T8,50.46,81.86,12.58,25.44
9,Sib,T9,53.19,85.58,15.31,21.72
9,Sib,T10,42.86,66.17,4.98,41.13
9,Sib,T11,58.8,65.04,20.92,42.26
9,Sib,T12,79.72,72.64,41.84,34.66
9,Sib,T13,72.67,64.77,34.79,42.53
9,Sib,T14,65.97,62.94,28.09,44.36
9,Sib,T15,96.69,64.29,58.81,43.01
10,Sib,T5,76.97,108.84,38.27,0.43
10,Sib,T6,90.91,104.56,52.21,4.71
10,Sib,T7,72.44,101.84,33.74,7.43
10,Sib,T8,74.69,101,35.99,8.27
10,Sib,T9,59.09,96.45,20.39,12.82
10,Sib,T10,68.51,90.3,29.81,18.97
10,Sib,T11,70.1,89.99,31.4,19.28
10,Sib,T12,94.57,86.25,55.87,23.02
10,Sib,T13,74.69,78.79,35.99,30.48
10,Sib,T14,95.97,58.14,57.27,51.13
10,Sib,T15,97.36,52.48,58.66,56.79
10,Sib,T16,62.72,60.57,24.02,48.7
10,Sib,T17,52.21,72.98,13.51,36.29
10,Sib,T18,54.26,69.22,15.56,40.05
10,Sib,T19,52.3,66.04,13.6,43.23
10,Sib,T20,42.09,62.2,3.39,47.07
10,Sib,T21,82.54,50.18,43.84,59.09
10,Sib,T22,87.24,50.29,48.54,58.98
11,Sib,T5,46.19,103.09,8.34,8.78
11,Sib,T6,69.19,91.71,31.34,20.16
11,Sib,T7,71.55,94.52,33.7,17.35
11,Sib,T8,96.69,90.86,58.84,21.01
11,Sib,T9,49.16,87.09,11.31,24.78
11,Sib,T10,45.08,62.23,7.23,49.64
11,Sib,T11,47.75,68.04,9.9,43.83
11,Sib,T12,80.78,59.94,42.93,51.93
11,Sib,T13,38.6,88.41,0.75,23.46
11,Sib,T14,39.08,81.28,1.23,30.59
12,Sib,T5,63.47,32.81,25.45,55.44
12,Sib,T6,69.99,29.92,31.97,58.33
12,Sib,T7,73.76,87.05,35.74,1.2
12,Sib,T8,71.52,80.48,33.5,7.77
12,Sib,T9,71.26,70.35,33.24,17.9
12,Sib,T10,74.43,66.3,36.41,21.95
12,Sib,T11,52.37,70.27,14.35,17.98
12,Sib,T12,39.11,72.52,1.09,15.73
12,Sib,T13,58.8,82.76,20.78,5.49
12,Sib,T14,98.36,88.1,60.34,0.15
13,Sib,T5,61.32,105.97,22.67,0.34
13,Sib,T6,97.96,89.92,59.31,16.39
13,Sib,T7,93.35,77.09,54.7,29.22
13,Sib,T8,95.94,68.53,57.29,37.78
13,Sib,T9,45.61,74.61,6.96,31.7
13,Sib,T10,49.69,90.87,11.04,15.44
15,NonSibs,T5,45.97,82.07,8.4,7.42
15,NonSibs,T6,62.97,86.73,25.4,2.76
15,NonSibs,T7,76.68,82.6,39.11,6.89
15,NonSibs,T8,72.74,61.54,35.17,27.95
15,NonSibs,T9,76.02,62.83,38.45,26.66
15,NonSibs,T10,88.25,46.07,50.68,43.42
15,NonSibs,T11,56.26,36.37,18.69,53.12
15,NonSibs,T12,61.99,34.51,24.42,54.98
15,NonSibs,T13,69.41,39.2,31.84,50.29
15,NonSibs,T14,40.42,46.28,2.85,43.21
16,NonSibs,T5,89.11,50.45,51.35,43.99
16,NonSibs,T6,81.43,61.68,43.67,32.76
16,NonSibs,T7,52.45,91.91,14.69,2.53
16,NonSibs,T8,60.44,94.14,22.68,0.3
16,NonSibs,T9,69.94,86.04,32.18,8.4
16,NonSibs,T10,50.7,69.73,12.94,24.71
16,NonSibs,T11,61.02,69.98,23.26,24.46
17,NonSibs,T5,72.64,88.49,34.36,5.69
17,NonSibs,T6,79.39,77.65,41.11,16.53
17,NonSibs,T7,85.33,72.08,47.05,22.1
17,NonSibs,T8,90.68,68.05,52.4,26.13
17,NonSibs,T9,84.96,49.72,46.68,44.46
17,NonSibs,T10,93.94,58.33,55.66,35.85
17,NonSibs,T11,54,34.51,15.72,59.67
17,NonSibs,T12,46,59.41,7.72,34.77
17,NonSibs,T13,49.64,93.05,11.36,1.13
18,NonSibs,T5,97.61,94.31,59.76,18.33
18,NonSibs,T6,42.99,86.39,5.14,26.25
18,NonSibs,T7,97.07,55.19,59.22,57.45
19,NonSibs,T5,51.04,84.43,14.28,1.06
19,NonSibs,T6,51.83,83.63,15.07,1.86
19,NonSibs,T7,79.99,74.27,43.23,11.22
19,NonSibs,T8,40.53,68.31,3.77,17.18
19,NonSibs,T9,44.41,59.91,7.65,25.58
19,NonSibs,T10,44.14,45.25,7.38,40.24
19,NonSibs,T11,56.25,46.18,19.49,39.31
19,NonSibs,T12,70.18,32.36,33.42,53.13
19,NonSibs,T13,97.24,36.55,60.48,48.94
19,NonSibs,T14,97.06,50.09,60.3,35.4
19,NonSibs,T15,37.46,40.95,0.7,44.54
20,NonSibs,T5,84.48,93.43,49.36,1.7
20,NonSibs,T6,75.3,74.14,40.18,20.99
20,NonSibs,T7,86.89,66.53,51.77,28.6
20,NonSibs,T8,80.52,56.35,45.4,38.78
20,NonSibs,T9,80.82,47.27,45.7,47.86
20,NonSibs,T10,77.31,44,42.19,51.13
20,NonSibs,T11,44.69,36.16,9.57,58.97
20,NonSibs,T12,52.46,37.36,17.34,57.77
20,NonSibs,T13,59.76,44.96,24.64,50.17
20,NonSibs,T14,49.71,56.55,14.59,38.58
20,NonSibs,T15,44.37,64.83,9.25,30.3
21,NonSibs,T5,61.03,102.36,24.25,0.71
21,NonSibs,T6,67.27,85.03,30.49,18.04
21,NonSibs,T7,84.14,78.85,47.36,24.22
21,NonSibs,T8,80.45,73.39,43.67,29.68
21,NonSibs,T9,93.59,60.99,56.81,42.08
21,NonSibs,T10,63.63,65.82,26.85,37.25
21,NonSibs,T11,62.19,59.96,25.41,43.11
21,NonSibs,T12,39.57,55.22,2.79,47.85
21,NonSibs,T13,82.66,47.29,45.88,55.78
22,NonSibs,T5,52.47,90.61,16.1,8.29
22,NonSibs,T6,71.43,93.02,35.06,5.88
22,NonSibs,T7,74.51,93.52,38.14,5.38
22,NonSibs,T8,86.24,77.97,49.87,20.93
22,NonSibs,T9,87.69,81.06,51.32,17.84
22,NonSibs,T10,59.63,53.82,23.26,45.08
22,NonSibs,T11,36.54,60.11,0.17,38.79
23,NonSibs,T5,90.24,64.97,51.78,6.92
23,NonSibs,T6,79.18,62.86,40.72,9.03
23,NonSibs,T7,78.65,63.56,40.19,8.33
23,NonSibs,T8,67.31,62.62,28.85,9.27
23,NonSibs,T9,46.53,61.85,8.07,10.04
23,NonSibs,T10,38.92,51.47,0.46,20.42
23,NonSibs,T11,39.61,49.7,1.15,22.19
23,NonSibs,T12,40.78,53.87,2.32,18.02
23,NonSibs,T13,60.96,46.66,22.5,25.23
23,NonSibs,T14,38.95,37.25,0.49,34.64
23,NonSibs,T15,44.63,15.23,6.17,56.66
23,NonSibs,T16,83.38,28.75,44.92,43.14
23,NonSibs,T17,82.06,36.97,43.6,34.92
23,NonSibs,T18,91.36,37.56,52.9,34.33
23,NonSibs,T19,44.6,28.3,6.14,43.59
24,NonSibs,T5,77.9,62.62,40.74,23.19
24,NonSibs,T6,81.38,64.65,44.22,21.16
24,NonSibs,T7,90.8,63.23,53.64,22.58
24,NonSibs,T8,91.64,65.43,54.48,20.38
24,NonSibs,T9,40.9,57.61,3.74,28.2
24,NonSibs,T10,95.38,50.67,58.22,35.14
24,NonSibs,T11,68.18,26.89,31.02,58.92
24,NonSibs,T12,92.06,26.59,54.9,59.22
25,NonSibs,T5,38.54,44.77,1.33,52.18
25,NonSibs,T6,51.53,48.78,14.32,48.17
25,NonSibs,T7,55.45,51.65,18.24,45.3
25,NonSibs,T8,43.59,61.01,6.38,35.94
25,NonSibs,T9,49.08,59.33,11.87,37.62
25,NonSibs,T10,54.65,64.17,17.44,32.78
25,NonSibs,T11,74.23,68.57,37.02,28.38
25,NonSibs,T12,68.58,63.82,31.37,33.13
25,NonSibs,T13,45.25,90.67,8.04,6.28
25,NonSibs,T14,69.58,83,32.37,13.95
25,NonSibs,T15,86.3,55.38,49.09,41.57
25,NonSibs,T16,95.62,48.27,58.41,48.68
25,NonSibs,T17,64.17,37.34,26.96,59.61
26,NonSibs,T5,91.77,87.71,54.35,3.17
26,NonSibs,T6,88.07,76.74,50.65,14.14
26,NonSibs,T7,93.29,67.38,55.87,23.5
