mother.ID,sib.total,sib.group.size,total.group.size,age.d,Ind,sheet,survival,bifurcations
65,11,1,1,10,F,1,1,2
65,11,1,1,10,F,2,0,
65,11,1,1,10,F,3,0,
65,11,1,1,10,F,4,0,
65,11,1,1,10,F,5,1,2
65,11,1,1,10,F,6,1,2
65,11,1,1,10,F,7,1,0
65,11,1,1,10,F,8,1,2
65,11,1,1,10,F,9,1,2
65,11,1,1,10,F,10,1,2
65,15,1,5,10,F,11,1,1
65,15,1,5,10,NF,11,1,2
65,15,1,5,10,NF,11,1,2
65,15,1,5,10,NF,11,0,
65,15,1,5,10,NF,11,0,
65,15,1,5,10,F,12,0,
65,15,1,5,10,NF,12,1,2
65,15,1,5,10,NF,12,1,2
65,15,1,5,10,NF,12,1,3
65,15,1,5,10,NF,12,0,
65,15,1,5,10,F,13,0,
65,15,1,5,10,NF,13,1,0
65,15,1,5,10,NF,13,0,
65,15,1,5,10,NF,13,0,
65,15,1,5,10,NF,13,0,
65,15,1,5,10,F,14,1,1
65,15,1,5,10,NF,14,1,0
65,15,1,5,10,NF,14,1,2
65,15,1,5,10,NF,14,1,2
65,15,1,5,10,NF,14,0,
65,15,1,5,10,F,15,1,2
65,15,1,5,10,NF,15,1,1
65,15,1,5,10,NF,15,1,1
65,15,1,5,10,NF,15,1,2
65,15,1,5,10,NF,15,0,
65,15,1,5,10,F,16,1,2
65,15,1,5,10,NF,16,1,2
65,15,1,5,10,NF,16,1,2
65,15,1,5,10,NF,16,1,2
65,15,1,5,10,NF,16,0,
65,15,1,5,10,F,17,1,1
65,15,1,5,10,NF,17,1,1
65,15,1,5,10,NF,17,1,1
65,15,1,5,10,NF,17,1,0
65,15,1,5,10,NF,17,0,
65,15,1,5,10,F,18,1,1
65,15,1,5,10,NF,18,1,3
65,15,1,5,10,NF,18,1,2
65,15,1,5,10,NF,18,1,1
65,15,1,5,10,NF,18,0,
65,15,1,5,10,F,19,1,2
65,15,1,5,10,NF,19,1,
65,15,1,5,10,NF,19,1,
65,15,1,5,10,NF,19,1,
65,15,1,5,10,NF,19,1,
65,15,1,5,10,F,20,1,2
65,15,1,5,10,NF,20,1,2
65,15,1,5,10,NF,20,1,2
65,15,1,5,10,NF,20,1,2
65,15,1,5,10,NF,20,0,
65,55,5,5,10,F,21,1,2
